participantId,order,submittedAt,run,condition,dataset,recordType,taskId,taskTitle,targetType,selected,correctAnswer,durationSec,clicks,exactMatch,accuracy,truePositives,falsePositives,missed,nasaMentalDemand,nasaPhysicalDemand,nasaTemporalDemand,nasaPerformance,nasaFrustration,sus1,sus2,sus3,sus4,sus5,sus6,sus7,sus8,sus9,sus10,visualOverload,easeDetection,relevanceDifferentiation,nasaEffort,nasaPerformanceInverted,rawNasaTlx,susScore,dashboardExperience,visualizationExperience,ageGroup,colorVision,feedback
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,criticalKpi,Kritische Kennzahlen finden,kpi,Open Incidents; P95 Latency; Error Rate; Failed Jobs,P95 Latency; Error Rate; Open Incidents; Failed Jobs,39,4,True,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,priorityService,Service mit höchster Error Rate auswählen,service,Payment Gateway,Payment Gateway,23,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,multiMetricServices,Services über zwei Grenzwerten auswählen,service,Checkout Service; User Database; Payment Gateway,Payment Gateway; Checkout Service; User Database,50,3,True,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,bottleneckStages,Pipeline-Bottlenecks auswählen,throughput,Validation; Retry Queue,Validation; Retry Queue,34,2,True,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,slaRisk,Höchstes SLA-Risiko auswählen,sla,Checkout API,Checkout API,9,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,task,historyComponent,Komponente mit den meisten kritischen Checks auswählen,history,API Traffic,API Traffic,14,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,1,highlight,A,questionnaire,,,,,,,,,,,,,5,4,6,2,5,3,4,4,4,5,2,4,3,4,4,7,6,6,5,6,5.166666666666667,57.5,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,criticalKpi,Kritische Kennzahlen finden,kpi,Queue Depth; Open Incidents; P95 Latency; Failed Jobs; Error Rate,P95 Latency; Error Rate; Queue Depth; Open Incidents; Failed Jobs,15,5,True,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,priorityService,Service mit höchster Error Rate auswählen,service,Search Service,Search Service,42,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,multiMetricServices,Services über zwei Grenzwerten auswählen,service,Order Database; Search Service; Recommendation API,Search Service; Recommendation API; Order Database,21,3,True,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,bottleneckStages,Pipeline-Bottlenecks auswählen,throughput,Validation; Processing; Export,Processing; Export,24,3,False,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,slaRisk,Höchstes SLA-Risiko auswählen,sla,Search API,Search API,11,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,task,historyComponent,Komponente mit den meisten kritischen Checks auswählen,history,Mobile App,Mobile App,12,1,True,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,2,baseline,B,questionnaire,,,,,,,,,,,,,6,5,4,5,5,1,5,3,5,4,2,3,4,5,4,4,3,2,6,3,4.833333333333333,40,,,,,
P-5051,highlight,2026-06-24T09:45:52.395Z,,,,backgroundAndFeedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,25-34,no,"Die Farbgebung hat mir in der ersten Condition geholfen, schneller kritische Informationen zu entdecken."
